loan_id,customer_id,asset_type,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,days_past_due,ltv,unemployment_rate,default_probability,default_flag,lgd,ead,ecl,stage
LN000001,CUST000001,Auto Loan,23911.58,6.62,120,796,1906778.19,120,64.84,5.83,0.17,0,0.25,23911.58,1016.24,3
LN000002,CUST000002,Structured Credit,6814.36,5.33,120,627,1693942.17,30,94.22,5.51,0.12,0,0.5,6814.36,408.86,2
LN000003,CUST000003,Mortgage,27212.87,11.62,36,684,1957572.34,0,51.74,8.43,0.05,0,0.25,27212.87,340.16,1
LN000004,CUST000004,Mortgage,68832.52,7.2,48,689,2095094.03,120,98.31,8.42,0.24,0,0.4,68832.52,6607.92,3
LN000005,CUST000005,Auto Loan,52909.65,8.1,180,802,2326707.55,60,88.61,8.95,0.09,0,0.4,52909.65,1904.75,2
LN000006,CUST000006,Auto Loan,49007.59,5.8,360,725,1219607.65,0,92.89,6.31,0.06,0,0.4,49007.59,1176.18,1
LN000007,CUST000007,Auto Loan,29851.93,10.86,240,609,2465569.13,0,95.77,5.07,0.12,0,0.4,29851.93,1432.89,1
LN000008,CUST000008,Structured Credit,14834.02,5.19,360,803,735236.83,0,85.19,4.44,0.06,0,0.5,14834.02,445.02,1
LN000009,CUST000009,Mortgage,52088.84,10.84,60,557,1857321.61,0,87.33,3.2,0.12,1,0.4,52088.84,2500.26,1
LN000010,CUST000010,Mortgage,20251.88,5.98,120,656,1451520.96,0,66.27,7.36,0.05,0,0.25,20251.88,253.15,1
LN000011,CUST000011,Auto Loan,167521.62,11.21,240,720,2088026.34,0,70.63,4.4,0.02,0,0.25,167521.62,837.61,1
LN000012,CUST000012,Structured Credit,54141.43,10.11,240,607,1322733.67,30,95.95,6.64,0.12,1,0.5,54141.43,3248.49,2
LN000013,CUST000013,Structured Credit,24186.41,6.15,180,839,2013861.93,120,62.7,8.5,0.2,0,0.35,24186.41,1693.05,3
LN000014,CUST000014,Auto Loan,23671.58,8.96,240,633,2342879.61,0,42.52,8.7,0.11,0,0.25,23671.58,650.97,1
LN000015,CUST000015,Auto Loan,34028.0,7.19,36,666,1897662.1,0,85.77,3.03,0.06,0,0.4,34028.0,816.67,1
